title,url,director,casts,rating_num,language,country,type,year,image
神勇飞虎霸王花,https://movie.douban.com/subject/1305016/,['钱升玮'],"['胡慧中', '冯淬帆', '吴君如', '惠英红', '罗美薇']",6.9,['粤语'],['中国香港'],"['喜剧', '动作']",['1989'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2162153613.jpg']
哆啦A梦：大雄的宇宙英雄记,https://movie.douban.com/subject/25928048/,['大杉宜弘'],"['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",6.9,['日语'],['日本'],"['剧情', '科幻']",['2015'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2371784693.jpg']
内特拉姆,https://movie.douban.com/subject/35271841/,['贾斯汀·库泽尔'],"['卡赖伯·兰德里·琼斯', '埃茜·戴维斯', '安东尼·拉帕格利亚', '朱迪·戴维斯', '肖恩·基南']",6.9,['英语'],['澳大利亚'],['惊悚'],['2021'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2742358006.jpg']
蜜蜂总动员,https://movie.douban.com/subject/1899601/,"['史蒂夫·希克纳', '西蒙·J·史密斯']","['杰瑞·宋飞', '蕾妮·齐薇格', '马修·布罗德里克', '约翰·古德曼', '克里斯·洛克']",6.8,['英语'],['美国'],"['喜剧', '动画', '家庭', '冒险']",['2007'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p866034413.jpg']
圣鹿之死,https://movie.douban.com/subject/26724989/,['欧格斯·兰斯莫斯'],"['妮可·基德曼', '科林·法瑞尔', '艾丽西亚·希尔维斯通', '巴里·基奥恩', '拉菲·卡西迪']",6.8,"['英语', '法语']","['爱尔兰', '英国']","['剧情', '悬疑', '惊悚']",['2017'],['https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2460265520.jpg']
亚人 真人版,https://movie.douban.com/subject/26864096/,['本广克行'],"['佐藤健', '玉山铁二', '城田优', '千叶雄大', '川荣李奈']",6.8,['日语'],['日本'],"['剧情', '动作', '奇幻']",['2017'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2497206856.jpg']
惊天核网,https://movie.douban.com/subject/1306969/,['菲尔·奥尔登·罗宾森'],"['詹姆斯·克伦威尔', '肯·詹金斯', '布鲁斯·麦克吉尔', '约翰·比斯利', '摩根·弗里曼']",6.8,"['英语', '俄语', '乌克兰语', '德语', '阿拉伯语']","['美国', '德国']","['剧情', '动作', '惊悚']",['2002'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2237506504.jpg']
致埃文·汉森,https://movie.douban.com/subject/30391140/,['斯蒂芬·卓博斯基'],"['本·普拉特', '朱丽安·摩尔', '凯特琳·德弗', '艾米·亚当斯', '丹尼·皮诺']",6.8,['英语'],['美国'],"['剧情', '歌舞']",['2021'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2677200573.jpg']
隔绝,https://movie.douban.com/subject/4846693/,['泽维尔·吉恩斯'],"['劳伦·日尔曼', '迈克尔·比恩', '米洛·文堤米利亚', '考特尼·万斯', '艾什顿·霍尔姆斯']",6.7,['英语'],"['德国', '美国', '加拿大']","['科幻', '悬疑', '惊悚', '灾难']",['2011'],['https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1482124712.jpg']
火影忍者剧场版：大激突！幻之地底遗迹,https://movie.douban.com/subject/1773285/,['川崎博嗣'],"['竹内顺子', '河相我闻', '中村千绘', '森久保祥太郎', '石田彰']",6.7,['日语'],['日本'],"['剧情', '喜剧', '动画', '奇幻', '冒险']",['2005'],['https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2171254694.jpg']
